id,brand_primary,lex_label,lex_score,text_clean_base
11331,seguros bolivar,neg,-3.0,"demandamos de las tiendas d1 y a la arl seguros bolívar atender con urgencia el caso de deisy zapata, trabajadora lactante que denuncia hostigamiento y falta de atención tras un accidente laboral. no permitiremos que el trabajo digno, la salud y la seguridad sean vulnerados. demandamos de las tiendas d1 y a la arl seguros bolívar atender con urgencia el caso de deisy zapata, trabajadora lactante que denuncia hostigamiento y falta de atención tras un accidente laboral. no permitiremos que el trabajo digno, la salud y la seguridad sean vulnerados."
6027,fiduciaria previsora,neg,-2.625,ya salio el estupido griton del ministro de salud a decir que ni el ni el indigno tienen la culpa y que la culpa es de la previsora quien la escogio? por que la de ision apurada sin estar listos?? ineptos petro y el estupido griton ya salio el estupido griton del ministro de salud a decir que ni el ni el indigno tienen la culpa y que la culpa es de la previsora quien la escogio? por que la de ision apurada sin estar listos?? ineptos petro y el estupido griton
2685,,neg,-2.188,"bodeguero inepto, bruto y ignorante. se llama la previsora. bodeguero inepto, bruto y ignorante. se llama la previsora."
598,mapfre,neg,-1.875,"""es un precedente histórico para la ingeniería del país"": cámara colombiana de infraestructura sobre fallo que exime a constructores de la contingencia de hidroituango ...resolvería a través de un arbitraje. en este mecanismo de resolución de conflictos, las partes en disputa deciden que en lugar de ir a un juez o a un tribunal estatal se someterán a un grupo de árbitros. aunque desde 2019 la aseguradora mapfre empezó a pagar el..."
12041,,neg,-1.5,llevo 20 dias con el carro siniestrado por el furgon de ustedes de placa tly786 que se quedo sin frenos nadie responde ha dilatado la respuesta entonces ustedes deben responder directamente sin embargo no quieren hacerlo llevo 20 dias con el carro siniestrado por el furgon de ustedes de placa tly786 que se quedo sin frenos nadie responde ha dilatado la respuesta entonces ustedes deben responder directamente sin embargo no quieren hacerlo
1825,sura,neg,-1.5,"la rama chilena de seguros sura decidió migrar sus centros de datos a la nube de oracle, con lo que ganó un 75 % en rendimiento y redujo en un 35 % los costos de propiedad. ¿pensando en transformación digital? oracle la rama chilena de seguros sura decidió migrar sus centros de datos a la nube de oracle, con lo que ganó un 75 % en rendimiento y redujo en un 35 % los costos de propiedad. ¿pensando en transformación digital? oracle"
12955,,neg,-1.5,señores de axa su servicio todo riesgo es de lo peor. 4 horas esperando un servicio de grúa para que al final pidan que uno lo busque porque están congestionados. un servicio en bogotá! pésimo señores de axa su servicio todo riesgo es de lo peor. 4 horas esperando un servicio de grúa para que al final pidan que uno lo busque porque están congestionados. un servicio en bogotá! pésimo
4430,,neg,-1.343,"la peor aseguradora nunca la usado en mis casi dos años y primera vez que la voy usar y no me pueden atender qué porquería, no vuelvo a contratar con uds la peor aseguradora nunca la usado en mis casi dos años y primera vez que la voy usar y no me pueden atender qué porquería, no vuelvo a contratar con uds"
1506,,neg,-1.1300000000000001,ustedes no le dan solucion son unos estafadores tramposos pusieron un audio falso y jamas en el audio menciona que se le acepto ese seguro y eso es grave y vamos a escalar este robo para que los sancionen como debe ser ustedes no le dan solucion son unos estafadores tramposos pusieron un audio falso y jamas en el audio menciona que se le acepto ese seguro y eso es grave y vamos a escalar este robo para que los sancionen como debe ser
5568,sura,neg,-1.042,"y raro que seguros sura se ponga a falsificar una historia clínica, si normalmente llegan es de lo que les hace la misma clínica o el médico tratante que son personas diferentes y raro que seguros sura se ponga a falsificar una historia clínica, si normalmente llegan es de lo que les hace la misma clínica o el médico tratante que son personas diferentes"
