id,brand_primary,lex_label,lex_score,text_clean_base
8182,fiduciaria previsora,pos,3.75,"dedíquese a fortalecer la tesis del aseguramiento integral en salud de entidades del estado, caso nueva eps y aseguradora la previsora y encontrará más apoyo que el actual. basado en el eficiente y exitoso modelo de aseguramiento integral en salud de y dedíquese a fortalecer la tesis del aseguramiento integral en salud de entidades del estado, caso nueva eps y aseguradora la previsora y encontrará más apoyo que el actual. basado en el eficiente y exitoso modelo de aseguramiento integral en salud de y"
128,,pos,2.958,"excelente. si, es bueno saber el rendimiento en la movilidad bogotana. yo por lo pronto, seguiré con mi moto (si es que algún día decide autorizar el cambio del rin) excelente. si, es bueno saber el rendimiento en la movilidad bogotana. yo por lo pronto, seguiré con mi moto (si es que algún día decide autorizar el cambio del rin)"
6551,fiduciaria previsora,pos,2.582,muy acertado por ser parte del modelo integral de aseguramiento en salud entre una aseguradora del estado como es la previsora y un fondo parafiscal fomag. es réplica acertada del eficaz modelo de aseguramiento entre y muy acertado por ser parte del modelo integral de aseguramiento en salud entre una aseguradora del estado como es la previsora y un fondo parafiscal fomag. es réplica acertada del eficaz modelo de aseguramiento entre y
7265,fiduciaria previsora,pos,2.242,"🌐con el seguro de responsabilidad civil riesgo cibernético de previsora seguros, proteges tu negocio ante amenazas cibernéticas y estás preparado para cualquier eventualidad. ¡contáctanos para obtener la protección que necesitas en segurocibernético 🌐con el seguro de responsabilidad civil riesgo cibernético de previsora seguros, proteges tu negocio ante amenazas cibernéticas y estás preparado para cualquier eventualidad. ¡contáctanos para obtener la protección que necesitas en segurocibernético"
2078,,pos,1.848,"responsabilidad organizacional y el valor probatorio de la historia clínica con fundamento en los hechos, rosalba cardona álzate instauró demanda en contra de fundación médico preventiva para el bienestar social s.a. y fiduciaria la previsora s.a..a..a..a..a..a..a y solicitó condenas por los… responsabilidad organizacional y el valor probatorio de la historia clínica con fundamento en los hechos, rosalba cardona álzate instauró demanda en contra de fundación médico preventiva para el bienestar social s.a. y fiduciaria la previsora s.a..a..a..a..a..a..a y solicitó condenas por los…"
8703,seguros bolivar,pos,1.494,"día mundial de las enfermedades raras o huérfanas ...febrero durante los años bisiestos , en seguros bolívar le ofrecemos más detalles sobre este día, porque estar informado, también es una manera de prevenir y cuidar de su salud. ¿qué son las enfermedades raras, huérfanas y olvidadas? en colombia, el..."
2581,fiduciaria previsora,pos,1.4260000000000002,la solución puede ser reforzar modelos de aseguramiento integral en salud? el grupo bicentenario con sus aseguradoras positiva y la previsora en alianza con nueva eps tendrían gran campo para actuar ? la solución puede ser reforzar modelos de aseguramiento integral en salud? el grupo bicentenario con sus aseguradoras positiva y la previsora en alianza con nueva eps tendrían gran campo para actuar ?
13562,sura,pos,1.1595,todo sobre seguros aldo dijo: hola a todos. para asegurar un carro de 100 millones (valor fasecolda) me están ofreciendo las siguientes pólizas: 1. axa colpatria plus $1.827.000 2. sura autos global $2.937.628 3. bolivar full $3.530.397 4. mapfre super trebol $2.659.433 5...
13574,sura,pos,1.1595,todo sobre seguros hola a todos. para asegurar un carro de 100 millones (valor fasecolda) me están ofreciendo las siguientes pólizas: 1. axa colpatria plus $1.827.000 2. sura autos global $2.937.628 3. bolivar full $3.530.397 4. mapfre super trebol $2.659.433 5. allianz...
7799,,pos,1.125,"señores en represalia por que nos quejamos con la super nos dejo tirados en la terminal de barranquilla no nos aprobo traslado interno, muy a pesar que se solicitó con el tiempo prudente.. w señores en represalia por que nos quejamos con la super nos dejo tirados en la terminal de barranquilla no nos aprobo traslado interno, muy a pesar que se solicitó con el tiempo prudente.. w"
11291,fiduciaria previsora,pos,1.088,"fecode pide audiencia urgente a petro: reconoce avances, pero advierte graves fallas en nuevo modelo de salud ...jurídica a los prestadores. d) exista un compromiso serio y real por parte de la fiduciaria la previsora en el respeto a la ley 91 de 1989 y apego estricto al acuerdo 003 de abril de 2024 del consejo directivo del fomag. e) se recomiende la aprobación, por..."
8788,,pos,1.017,ponen orden en normas sobre conflictos de interés en empresas ...(opa) que el grupo gilinski y sus socios árabes lanzaran sobre grupo nutresa y posteriormente sobre grupo sura y sobre las cuales giraron decisiones y argumentos sobre conflictos de interés dadas las autorizaciones que debieron tomarse a través de más de 30...
3576,seguros bolivar,pos,1.0,"¿qué les preocupa a los colombianos en términos de salud? ...realizado por el área de optimización de seguros bolívar y servicios bolívar*, existen tres principales preocupaciones en los colombianos a la hora de gestionar sus necesidades de salud: 1. en la actualidad, el 57% de los encuestados mencionó su preocupación..."
7469,,pos,0.8919999999999999,"a david luna estaría impedido para participar de la reforma a la salud.🚨 lo financiaron en mas de cien millones seguros bolívar, mercantil colpatria, tecnoquímicas y jgb; empresas proveedoras del sistema de salud y oferentes de medicina prepagada conflicto de interés. a david luna estaría impedido para participar de la reforma a la salud.🚨 lo financiaron en mas de cien millones seguros bolívar, mercantil colpatria, tecnoquímicas y jgb; empresas proveedoras del sistema de salud y oferentes de medicina prepagada conflicto de interés."
5222,sura,pos,0.875,"avisan qué pasará con usuarios de salud bolívar eps luego de anuncio que sorprendió ..., es una de las más grandes del país con más de 5 millones de afiliados. ""en cumplimiento de los deberes de divulgación de información relevante, suramericana s.a. (filial de grupo sura, especializada en la industria de seguros, y gestión de tendencias y..."
887,hdi seguros,pos,0.786,"fusión entre hdi seguros y hdi seguros colombia fue aprobada por la superfinanciera ...entidad bajo la marca hdi seguros y la razón social hdi seguros colombia. a partir de la primera semana de enero de 2025, esto implicará la desaparición completa de la marca liberty seguros y de la razón social hdi seguros. este proceso de integración, iniciado..."
4613,,pos,0.75,"los analistas del mercado proyectan que la inflación continuó estancada en junio ...investigaciones económicas sobre las perspectivas para lo que resta de año. los analistas prevén que la inflación cierre en promedio en 5,67%, donde el mínimo sería de 5,20%y el máximo de 6,20%. empresas como axa colpatria y citi están desde el lado bajista..."
7075,fiduciaria previsora,pos,0.71,"aunque el partido liberal dice que la reforma pensional se salvó por un acuerdo programático, la cierto es que lo que se acordó fue entregar el manejo de la previsora a cambio del apoyo a esta reforma. la mermelada sigue siendo la que manda en el país.. aunque el partido liberal dice que la reforma pensional se salvó por un acuerdo programático, la cierto es que lo que se acordó fue entregar el manejo de la previsora a cambio del apoyo a esta reforma. la mermelada sigue siendo la que manda en el país.."
2789,,pos,0.643,"las frutas que proveen al programa de hit social postobón vienen de 1.576 familias ...a mujeres agricultoras, y esta actividad se hizo en alianza con finagro y seguros bolívar. la compañía también supone como un fuerte impulsor del trabajo femenino. casi 31% de los agricultores vinculados 490 son mujeres, y 151 mujeres se formaron en..."
13068,,pos,0.563,"alcalde de anserma gana premio nacional por gestión en agua potable ...gracias a empocaldas, la fiduprevisora, la unión temporal obras por impuestos, autopistas del café, grupo sura, reencafé y pcp, nuestra región avanza con paso firme hacia el desarrollo"", expresó el alcalde reina muñoz al recibir el galardón. la..."
