brand_primary,neg,neu,pos,total
,0.17446737124643516,0.31840295252474415,0.5071296762288207,1.0
allianz,0.12244897959183673,0.23809523809523808,0.6394557823129252,1.0
axa colpatria,0.14285714285714285,0.09523809523809523,0.7619047619047619,1.0
fiduciaria previsora,0.16201117318435754,0.31731843575418994,0.5206703910614525,1.0
hdi seguros,0.08064516129032258,0.3870967741935484,0.532258064516129,1.0
liberty seguros,0.11029411764705882,0.38235294117647056,0.5073529411764706,1.0
mapfre,0.15844155844155844,0.3012987012987013,0.5402597402597402,1.0
porvenir,0.2727272727272727,0.45454545454545453,0.2727272727272727,1.0
seguros bolivar,0.09975961538461539,0.25600961538461536,0.6442307692307693,1.0
sura,0.14853195164075994,0.307426597582038,0.5440414507772021,1.0
zurich,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0
